0,000000;0,000000
0,010219;-0,002263
0,012883;-0,002072
0,013827;-0,002072
0,011993;0,000063
0,005294;0,000720
-0,004518;0,001889
-0,015239;0,005207
-0,036173;-0,003449
-0,050313;-0,005588
-0,060418;-0,005521
-0,069061;-0,007220
-0,072557;-0,000170
-0,073456;-0,000143
-0,081175;-0,001859
-0,084274;0,005124
-0,087941;0,007292
-0,098471;0,018547
-0,134489;0,042536
-0,185648;0,089934
-0,230621;0,200480
-0,422302;0,474076
-0,495238;0,636904
-0,522777;0,770030
-0,533055;0,857142
-0,554097;0,908854
-0,551146;0,922262
-0,555398;0,926775
-0,571944;0,930463
-0,688598;0,998940
-0,692843;0,998080
-0,690965;0,998385
-0,691672;1,000000
-0,691231;0,999326
-0,693252;0,997043
-0,691177;0,993703
-0,687836;0,989830
-0,679979;0,986276
-0,664440;0,982944
-0,525321;0,955118
-0,583834;0,971254
-0,615006;0,961105
-0,599372;0,952448
-0,605189;0,950261
-0,624670;0,952961
-0,658323;0,951526
-0,701765;0,949182
-0,725949;0,944554
-0,742338;0,937398
-0,767028;0,931593
-0,789615;0,920569
-0,864936;0,915422
-0,876617;0,911618
-0,906892;0,895557
-0,901518;0,888070
-0,913509;0,872016
-0,935061;0,861010
-0,936326;0,850598
-0,939664;0,843426
-1,000000;0,815709
-0,978169;0,821786
-0,970586;0,825031
-0,963828;0,833700
-0,969933;0,827727
-0,970355;0,828294
-0,966788;0,834338
-0,970062;0,833586
-0,966056;0,834071
-0,966154;0,833988
-0,958356;0,836166
-0,874645;0,858899
-0,833388;0,867823
-0,728652;0,850013
-0,619923;0,805916
-0,545299;0,734932
-0,485558;0,620153
-0,389281;0,472411
-0,286387;0,308541
-0,168686;0,168040
-0,080169;0,064071
-0,001673;0,031617
0,020178;0,014724
0,013336;0,011962
-0,018970;0,016898
-0,033094;0,022760
-0,034953;0,024162
-0,036697;0,022797
